DATE,V2TX,V6I1,V6I2
2000-03-13,31.1377,38.4101,30.8966
2000-03-14,30.9028,37.6151,30.7631
2000-03-15,31.5052,43.855,31.3554
2000-03-16,31.4462,,30.5311
2000-03-17,31.0922,,30.4206
2000-03-20,29.5358,29.4377,27.5185
2000-03-21,29.1204,29.1511,27.0948
2000-03-22,28.9261,29.102,26.868
2000-03-23,28.5267,28.8024,26.85
2000-03-24,27.0158,27.2766,25.9924
2000-03-27,27.0584,27.6765,26.0087
2000-03-28,26.431,27.2156,25.3545
2000-03-29,25.4628,26.2776,24.5506
2000-03-30,27.7869,29.2776,26.383
2000-03-31,27.237,28.8112,26.0042
2000-04-03,28.179,31.1902,26.7577
2000-04-04,27.8205,30.7131,26.6846
2000-04-05,32.0695,37.8865,30.0712
2000-04-06,28.7791,31.8804,27.9387
2000-04-07,26.626,28.1409,26.2985
2000-04-10,26.9387,29.7717,26.6108
2000-04-11,28.1435,33.5138,27.6389
2000-04-12,27.6432,32.4267,27.3066
2000-04-13,27.8573,32.6433,27.6118
2000-04-14,28.407,35.481,28.1459
2000-04-17,30.7758,46.0036,30.6679
2000-04-18,30.2799,44.6345,30.252
2000-04-19,28.2189,,28.1671
2000-04-20,27.2314,,27.0231
2000-04-25,28.3096,27.567,29.4621
2000-04-26,28.2941,27.5793,29.1894
2000-04-27,29.9862,28.9206,31.0668
2000-04-28,28.133,26.7859,29.2498
2000-05-02,28.7111,27.8344,29.07
2000-05-03,29.8878,29.1115,30.1537
2000-05-04,29.5658,29.1515,29.6847
2000-05-05,28.1957,26.3451,28.6205
2000-05-08,28.7495,28.0965,28.8312
2000-05-09,29.2943,28.9996,29.3234
2000-05-10,30.0209,30.1083,30.0143
2000-05-11,27.7294,27.3474,27.7508
2000-05-12,27.0581,26.2424,27.0902
2000-05-15,28.1816,31.0823,28.1571
2000-05-16,26.8223,31.2538,26.8101
2000-05-17,27.2548,34.2655,27.3039
2000-05-18,26.2945,,26.5261
2000-05-19,28.5293,,29.1358
2000-05-22,29.7029,31.382,25.3034
2000-05-23,28.7434,30.5001,25.1349
2000-05-24,28.8636,31.0928,25.1145
2000-05-25,27.3632,29.0448,25.1079
2000-05-26,26.7763,28.5798,24.7617
2000-05-29,26.2538,28.2087,24.95
2000-05-30,25.6275,27.4243,24.6161
2000-05-31,25.2594,27.0774,24.3904
2000-06-01,24.1361,26.1957,23.294
2000-06-02,22.758,25.5038,21.7864
2000-06-05,23.4487,26.068,22.9087
2000-06-06,24.1594,26.5922,23.7488
2000-06-07,24.3745,26.7239,24.0523
2000-06-08,24.1118,26.4062,23.8596
2000-06-09,24.3139,24.5605,24.2935
2000-06-12,24.5714,27.0343,24.4871
2000-06-13,24.1788,28.5279,24.0793
2000-06-14,23.2305,27.6116,23.175
2000-06-15,24.1161,,23.1382
2000-06-16,23.551,,22.86
2000-06-19,23.0801,22.8336,20.7737
2000-06-20,22.3126,22.2232,20.4946
2000-06-21,22.709,22.7396,20.7054
2000-06-22,22.7119,22.8697,20.8911
2000-06-23,22.6095,22.9217,20.7207
2000-06-26,22.8163,22.8588,22.7291
2000-06-27,22.7851,22.7733,22.804
2000-06-28,22.2728,22.0257,22.5874
2000-06-29,23.5674,23.4885,23.6501
2000-06-30,22.4188,21.8956,22.8623
2000-07-03,22.6522,22.1815,22.8843
2000-07-04,21.8585,21.7061,21.9219
2000-07-05,22.6108,21.9285,22.844
2000-07-06,22.4538,22.1907,22.5294
2000-07-07,21.4666,21.4071,21.4808
2000-07-10,21.5763,21.749,21.5543
2000-07-11,21.2154,21.155,21.2214
2000-07-12,20.9498,21.0974,20.9386
2000-07-13,20.4478,20.273,20.4576
2000-07-14,19.7817,19.5215,19.792
2000-07-17,19.6085,21.436,19.5932
2000-07-18,19.4081,23.1218,19.3977
2000-07-19,20.4576,25.3578,20.4233
2000-07-20,20.0856,,19.8961
2000-07-21,20.3524,,20.0304
2000-07-24,20.8416,20.3275,21.8549
2000-07-25,20.573,19.8595,21.669
2000-07-26,20.6399,20.0888,21.329
2000-07-27,21.2491,20.7301,21.7812
2000-07-28,22.5549,22.0955,22.9453
2000-07-31,22.2473,21.5017,22.6114
2000-08-01,22.4564,21.6741,22.7757
2000-08-02,22.2791,21.2572,22.6245
2000-08-03,23.1963,22.2022,23.4764
2000-08-04,22.4068,21.2064,22.6845
2000-08-07,22.2459,21.4064,22.35
2000-08-08,21.9573,21.8337,21.9695
2000-08-09,21.7924,20.4878,21.8884
2000-08-10,21.295,20.1004,21.3603
2000-08-11,21.1817,19.0454,21.2626
2000-08-14,20.6699,21.1175,20.6663
2000-08-15,20.6954,22.2471,20.6913
2000-08-16,20.2856,22.2358,20.3054
2000-08-17,20.218,,20.332
2000-08-18,19.908,,19.8446
2000-08-21,19.9801,19.8516,20.2799
2000-08-22,19.9077,19.6682,20.3478
2000-08-23,19.6149,19.2137,20.2072
